               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 152,            0.014483,            0.010182,                   0,             0.97227,                   1,               0.995,             0.70927,           0.0064571,            0.002934,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01413,           0.0090935,                   0,                   1,             0.96709,               0.995,              0.6847,           0.0066995,           0.0030179,                   0,            0.002476,            0.002476,            0.002476
                 154,             0.01682,            0.011841,                   0,                   1,             0.97973,               0.995,             0.68647,           0.0065902,           0.0030067,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.013718,            0.011315,                   0,                   1,             0.99687,               0.995,             0.68363,            0.007055,           0.0029819,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.014903,           0.0098927,                   0,             0.97271,                   1,               0.995,              0.6974,           0.0065215,           0.0030198,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.012986,            0.011008,                   0,             0.97597,                   1,               0.995,             0.69676,           0.0070234,           0.0030484,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.013695,            0.010031,                   0,             0.91222,                   1,               0.995,             0.67494,           0.0067262,           0.0029607,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.015695,            0.010925,                   0,             0.95607,                   1,               0.995,             0.66889,           0.0068908,           0.0029359,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.016717,            0.009721,                   0,             0.96928,                   1,               0.995,             0.66333,            0.006861,           0.0029435,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.015477,            0.010505,                   0,              0.9788,                   1,               0.995,             0.69103,            0.006829,           0.0029166,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.013743,           0.0095779,                   0,             0.99364,                   1,               0.995,             0.69084,           0.0067164,           0.0028691,                   0,           0.0020305,           0.0020305,           0.0020305
                 163,            0.012948,            0.010423,                   0,             0.99883,                   1,               0.995,             0.68766,           0.0066624,           0.0028539,                   0,            0.001981,            0.001981,            0.001981
